DATE',ID_CAMS',0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-03',6563,8.2649269,9.7110014,9.9608498,9.1111784,9.4230185,9.7361870,9.7580023,8.2937756,7.5595307,6.8757825,6.6108470,6.6922226,6.5322118,6.8244362,6.4022975,6.5250726,8.0298090,8.6547527,9.4008026,12.152491,12.104086,9.9832354,8.7789564,8.1589851
2019-01-03',6564,7.5049014,10.299615,10.044637,10.040540,10.600161,10.432292,10.241853,9.1016340,8.3619604,7.6277070,7.2127337,7.2203546,7.2331762,7.3551264,7.4546399,7.3278437,8.3288622,8.8568878,9.5190363,13.538177,14.135058,10.995830,9.8851929,8.8756247
2019-01-03',6747,6.6597252,8.0290051,7.4468498,6.8581328,5.7596450,6.0307350,6.2549834,5.7651529,5.3543472,4.6519542,4.2405901,4.3611307,4.3055983,4.6144776,4.6564941,4.8853245,5.3433609,5.8252015,6.2576594,6.4778972,6.5166335,6.4558024,5.3812470,5.5026069
2019-01-03',6748,7.3052106,8.6407251,7.9997659,7.4109635,6.3780732,6.7272091,7.3690295,6.7982249,6.2339988,5.6971908,5.1870332,5.1554890,4.6413155,5.0176115,5.1388817,5.5271010,6.2262387,6.9752288,7.5550113,7.9584270,7.7664499,7.1520491,6.5539627,6.3800564
2019-01-03',6749,7.9824433,9.1024647,8.4823093,8.0281696,6.9411926,7.1932540,8.2114201,7.5648437,6.9291372,6.3360825,5.9002190,5.7419143,5.1704707,4.5746307,5.2039104,5.1821470,6.4542093,7.6410928,8.6024933,9.2858629,9.1092758,7.8323798,7.2460809,6.9485612
2019-01-04',6192,4.1452055,4.3695321,4.2719030,4.2199430,4.3544226,5.1950030,6.2924643,6.7431335,6.6380634,6.1953783,5.4360213,5.4241772,5.7758327,7.0165482,7.3851762,8.3724184,8.5408173,7.5778065,6.6797414,6.7964692,6.7414608,6.6890922,6.1288433,5.9232831
2019-01-04',6193,5.6569562,4.8744440,4.8648081,5.2241960,5.2507434,5.8631124,7.9936457,7.2056403,7.7303953,7.5713019,6.3028269,6.4531565,7.0933208,7.0331039,6.9469419,8.3827925,8.8998690,9.0560474,7.8913302,7.0898523,6.8650384,7.0753570,6.5747657,6.3787694
2019-01-04',6194,7.0768337,5.8454003,4.9796319,5.1938415,5.3042331,5.8522978,7.3801346,7.0930052,7.6308908,7.5950909,6.1663742,6.3509521,6.8557439,6.3682775,6.0862470,6.3386178,7.6727052,8.5839634,8.3496733,6.8225179,6.8156414,6.7529130,6.6542468,6.4637647
2019-01-04',6377,5.1441007,5.0045729,4.8379498,4.6979752,5.9776573,7.4060135,7.6282701,9.1564779,8.7314501,7.6841788,6.2701983,6.5734940,6.5077910,7.7260251,9.0042324,9.2160320,9.3118706,9.0352716,8.3575029,7.9678984,7.5792332,7.3423367,6.2937174,6.0738187
2019-01-04',6378,7.6395836,6.4323654,6.8483167,7.4625759,6.8460684,9.1130781,13.158340,11.269320,11.068213,9.7477655,8.4362030,7.6774220,7.4793873,8.2416945,9.4480524,10.745802,11.900690,11.547637,10.699679,9.7570448,9.4600544,8.6229906,7.8052268,7.1946716
